#{"t_start": 1773582493.0100296, "env_id": "None"}
r,l,t
-0.929375,12,1.690338
-1.165312,12,1.717324
-0.880937,12,1.736259
-0.927812,12,1.750846
-0.640312,12,1.76185
-0.86375,12,1.77354
-1.168437,12,1.786036
-0.934062,12,1.797735
-0.910625,12,1.809011
-0.929375,12,1.821074
-0.92,12,1.840638
-1.217812,12,1.863931
3.047813,11,1.884017
-0.941875,12,1.906705
-0.887187,12,1.93504
-0.621562,12,1.964414
-1.244375,12,1.979054
-0.823125,12,1.989922
-0.671562,12,2.001174
-0.112188,12,2.01554
-0.941875,12,2.029782
-1.187187,12,2.040764
-0.9325,12,2.052971
-0.640312,12,2.068144
-1.180937,12,2.080779
-0.662188,12,2.095088
-0.635625,12,2.106801
-1.196562,12,2.117416
-0.940312,12,2.128077
-0.92,12,2.138402
-0.905937,12,2.149089
-0.662187,12,2.164865
-0.943437,12,2.193216
-0.937187,12,2.216361
-0.955937,12,2.23189
-0.640312,12,2.246062
-0.909062,12,2.259596
-1.141875,12,2.271735
-1.202812,12,2.287412
-0.909062,12,2.316845
-0.690312,12,2.350586
-1.146562,12,2.394329
-1.177812,12,2.428644
3.072812,6,2.448182
-1.091875,12,2.475074
-0.685625,12,2.511061
-1.193437,12,2.537654
-1.099687,12,2.555698
-1.193437,12,2.611426
-0.66375,12,2.632021
-0.937187,12,2.651618
-0.854375,12,2.662931
-0.829375,12,2.673509
-0.929375,12,2.684832
-0.691875,12,2.696907
-0.912187,12,2.707802
-0.665312,12,2.720053
-1.143437,12,2.733405
-1.198125,12,2.74654
-0.921562,12,2.760089
0.020625,12,2.774645
-0.860625,12,2.785718
-0.954375,12,2.80764
-0.929375,12,2.842057
-0.893437,12,2.874818
-0.624687,12,2.909245
-1.173125,12,2.93943
-1.155937,12,2.979801
-0.846562,12,3.021567
-0.884062,12,3.03727
3.03625,7,3.043656
-0.668437,12,3.075125
-0.921562,12,3.097162
-0.9325,12,3.112034
-1.174687,12,3.132482
-0.660625,12,3.14352
-0.930937,12,3.154175
-0.885625,12,3.165115
-0.824687,12,3.176657
-0.708437,12,3.191765
-0.915312,12,3.206196
-0.830937,12,3.226487
-1.214687,12,3.244787
-1.209062,12,3.264081
-1.155937,12,3.284659
-1.193437,12,3.307366
-1.179375,12,3.333917
-1.184062,12,3.356573
-0.880937,12,3.372225
-0.862187,12,3.382767
-0.143438,12,3.393144
-0.880937,12,3.403847
-1.12625,12,3.414247
-0.695,12,3.424949
-0.90125,12,3.440827
-0.590312,12,3.466781
-1.199687,12,3.492456
-1.18875,12,3.521163
-0.902812,12,3.538167
-1.278125,12,3.551429
-1.127812,12,3.569407
-1.160625,12,3.583761
-0.706875,12,3.596683
-1.146562,12,3.608882
-0.6325,12,3.627864
3.003437,12,3.644722
3.11625,4,3.653025
-0.937187,12,3.676258
-0.968437,12,3.692008
-0.87625,12,3.703938
-0.904375,12,3.716328
-1.137187,12,3.732018
-0.65125,12,3.747187
-1.146562,12,3.763686
-0.90125,12,3.780012
-0.183437,12,3.802863
-0.685625,12,3.835833
